timestamp;x;y;z
1432030078294743;45.875;13.8125;9
1432030078310753;23.875;10.5625;1.875
1432030078332799;9.75;9.375;4.25
1432030078362805;-7.0625;8.1875;3.25
1432030078370767;-9.1875;5.5;2.25
1432030078400789;-20.375;3.4375;-0.6875
1432030078414031;-32.3125;1.375;-0.4375
1432030078431023;-41.0625;0.5;-2.3125
1432030078453039;-44.875;-0.875;-3.3125
1432030078475111;-38.5625;0.5625;-1.375
1432030078490123;-17.4375;0.5625;-0.1875
1432030078512084;0.5;-0.25;1.4375
1432030078535154;8.75;0.0625;2.75
1432030078550165;5.3125;-0.4375;1.25
1432030078572180;-2.625;-0.6875;-0.125
1432030078595196;-12.625;-1.4375;-1.5625
1432030078610206;-16.25;-2.1875;-2.6875
1432030078632222;-12.5625;-2.375;-2.25
1432030078655186;-10.0625;-1.5;-1.8125
1432030078670329;-7.3125;-1.75;-2.375
1432030078692371;-7;-1.875;-2.375
1432030078715361;-8.875;-2.125;-1.875
1432030078730340;-8.75;-2.125;-2.5
1432030078752385;-7.5;-1.8125;-2.875
1432030078774371;-7.125;-1.75;-2.25
1432030078789381;-5.125;-1.6875;-1.9375
1432030078812398;-3.1875;-1.5;-1.375
1432030078834413;-4.5625;-1.5625;-1.5
1432030078851454;-5.25;-0.8125;-2.0625
1432030078872501;-6.1875;-0.6875;-2.625
1432030078894505;-5.5;-0.875;-3
1432030078918479;-4.3125;-0.75;-2.9375
1432030078932520;-2.75;-0.8125;-2.375
1432030078954556;-1.1875;-1.5625;-1.6875
1432030078971539;-2.9375;-2.3125;-1.6875
1432030078992585;-4.3125;-2.0625;-1.5
1432030079014602;-3.4375;-2.3125;-0.4375
1432030079031583;-3.125;-2.0625;0
1432030079052625;-0.9375;-1.1875;0.375
1432030079074642;-2;-1.625;0.4375
1432030079091624;-3.9375;-1.8125;0.4375
1432030079112668;-3.75;-1.6875;0.1875
1432030079134684;-2.5;-1.8125;0.4375
1432030079151643;-1.9375;-1.4375;0.1875
1432030079172713;-2;-1.375;-0.1875
1432030079194728;-3.25;-1.125;-0.875
1432030079211709;-3.1875;-0.9375;-1.1875
1432030079233703;-1.5;-0.3125;-1.625
1432030079255773;-3;-0.5;-2
1432030079271723;-3.375;-0.5;-1.3125
1432030079292737;-4.125;-0.5625;-1.4375
1432030079314813;-4.6875;-0.5625;-1.375
1432030079331766;-6.25;-0.3125;-1.375
1432030079352813;-7.25;-0.625;-1.75
1432030079374852;-7;-1.4375;-2.375
1432030079391807;-6.4375;-0.1875;-1.625
1432030079412853;-3.5;0.3125;-2.375
1432030079434895;-3.6875;0.125;-2.8125
1432030079450908;-3.9375;0.0625;-2.75
1432030079472895;-4.375;-1.125;-3.125
