timestamp;x;y;z;w
1432029804198219;0.479797;0.345093;-0.159485;0.79071
1432029804213229;0.477356;0.350464;-0.152893;0.791138
1432029804235227;0.475891;0.355896;-0.145264;0.791016
1432029804258264;0.473877;0.361328;-0.136475;0.79126
1432029804273275;0.470642;0.366638;-0.127075;0.792358
1432029804295327;0.466614;0.371765;-0.117737;0.793823
1432029804318306;0.462952;0.376587;-0.109375;0.794861
1432029804333318;0.460205;0.381104;-0.102478;0.795227
1432029804355316;0.458191;0.384827;-0.0965576;0.795349
1432029804378385;0.457336;0.388184;-0.0913696;0.7948
1432029804393548;0.45752;0.391602;-0.0872192;0.793518
1432029804415584;0.457581;0.394775;-0.0837402;0.792236
1432029804438599;0.456909;0.39801;-0.0812378;0.79126
1432029804452647;0.455139;0.401672;-0.0800171;0.790588
1432029804475663;0.452515;0.405579;-0.0802612;0.790039
1432029804498631;0.44928;0.40918;-0.0814819;0.789917
1432029804512690;0.445313;0.41217;-0.0828247;0.790466
1432029804535705;0.440308;0.414856;-0.0840454;0.791748
1432029804557668;0.435364;0.417114;-0.0849609;0.793152
1432029804572795;0.430969;0.418884;-0.085144;0.794678
1432029804595854;0.426147;0.419617;-0.083374;0.796997
1432029804617890;0.420715;0.419556;-0.079895;0.800293
1432029804640906;0.415161;0.41925;-0.0759277;0.803772
1432029804655863;0.407593;0.419128;-0.0718384;0.808044
1432029804689911;0.397278;0.41864;-0.0673218;0.813782
1432029804694888;0.387756;0.417358;-0.0621338;0.819458
1432029804716904;0.38147;0.415405;-0.0560913;0.823792
1432029804737980;0.378174;0.413696;-0.0493164;0.826599
1432029804752987;0.374939;0.413269;-0.0424805;0.828674
1432029804775975;0.368469;0.414185;-0.0353394;0.831482
1432029804797976;0.358459;0.416321;-0.0284424;0.835022
1432029804812971;0.346558;0.41925;-0.0219116;0.838806
1432029804836017;0.335327;0.422974;-0.0162964;0.841614
1432029804858073;0.327087;0.427185;-0.0114746;0.842773
1432029804873095;0.320862;0.43158;-0.00634766;0.842957
1432029804895279;0.314636;0.436035;0.00012207;0.843079
1432029804918282;0.307007;0.440613;0.00787354;0.843445
1432029804933349;0.297363;0.44519;0.0164185;0.84436
1432029804963371;0.28595;0.449646;0.0252075;0.845764
1432029804978383;0.273499;0.453918;0.0338745;0.84729
1432029804993395;0.261292;0.458008;0.0426025;0.848572
1432029805015409;0.251038;0.462952;0.050415;0.848511
1432029805038424;0.242798;0.468933;0.0570068;0.847229
1432029805053426;0.234192;0.474792;0.0635376;0.845886
1432029805075508;0.224548;0.480164;0.0706177;0.84491
1432029805098545;0.215515;0.485474;0.0777588;0.843628
1432029805112740;0.208191;0.490601;0.085022;0.841797
1432029805135706;0.202332;0.495239;0.0925903;0.839722
1432029805159719;0.197876;0.499451;0.100342;0.837402
1432029805180755;0.194458;0.503113;0.108521;0.834961
1432029805196856;0.192139;0.505981;0.11731;0.832581
1432029805226892;0.191406;0.508484;0.126587;0.829895
1432029805232894;0.192444;0.511169;0.136292;0.826416
1432029805255917;0.19342;0.514099;0.146667;0.822632
1432029805286938;0.193115;0.516479;0.158386;0.819031
1432029805292943;0.192078;0.518555;0.171326;0.815308
1432029805315957;0.190369;0.520264;0.185791;0.811462
1432029805338975;0.188049;0.522278;0.201599;0.806946
1432029805353002;0.184204;0.52533;0.217773;0.801636
1432029805375018;0.177734;0.528992;0.233643;0.796143
1432029805401019;0.168701;0.532593;0.248779;0.791138
1432029805421052;0.158691;0.53595;0.262756;0.786438
1432029805437041;0.150146;0.539551;0.275146;0.781372
1432029805458071;0.143921;0.543457;0.286987;0.775574
1432029805474138;0.139099;0.547424;0.299072;0.769043
1432029805495205;0.134033;0.550903;0.312134;0.762207
1432029805526227;0.127747;0.553467;0.325989;0.755676
1432029805534181;0.120178;0.554749;0.340332;0.749573
1432029805557189;0.111633;0.555237;0.354431;0.743958
1432029805586237;0.103088;0.555664;0.367249;0.738647
1432029805594242;0.0947876;0.556458;0.378052;0.733704
1432029805615249;0.0869141;0.557983;0.386414;0.729187
1432029805632256;0.0795288;0.559998;0.392456;0.72522
1432029805662277;0.0725708;0.562744;0.395874;0.721985
1432029805692302;0.0662231;0.566162;0.396118;0.719788
1432029805695304;0.0597534;0.568787;0.395325;0.71875
1432029805732375;0.0532227;0.570007;0.394592;0.718628
1432029805743384;0.0474243;0.571289;0.392761;0.719055
1432029805758427;0.0430908;0.573181;0.389648;0.719543
1432029805776411;0.0402832;0.5755;0.386108;0.719727
1432029805795458;0.038147;0.578369;0.381958;0.719727
1432029805827582;0.0345459;0.580811;0.378235;0.719971
1432029805835568;0.0299683;0.58252;0.375183;0.720337
1432029805858584;0.0269165;0.583557;0.373596;0.720459
1432029805877654;0.0264282;0.583923;0.374878;0.719482
1432029805909639;0.0272217;0.584412;0.378601;0.717102
1432029805915645;0.0266113;0.585083;0.38385;0.713806
1432029805933637;0.022522;0.584229;0.391174;0.710693
1432029805960715;0.0144653;0.581055;0.400269;0.708374
1432029805983728;0.00415039;0.576233;0.409729;0.707092
1432029805997682;-0.0057373;0.57074;0.418396;0.706421
1432029806014695;-0.012085;0.566406;0.425598;0.705566
1432029806035767;-0.0134277;0.564758;0.431213;0.70343
1432029806059755;-0.0123291;0.565186;0.435852;0.700256
1432029806074874;-0.012085;0.565552;0.441101;0.696655
1432029806095919;-0.0145264;0.564453;0.447388;0.693542
1432029806119890;-0.0200195;0.561768;0.453979;0.691284
1432029806141894;-0.0276489;0.55835;0.460022;0.689758
1432029806163929;-0.0359497;0.555298;0.464905;0.688538
1432029806178938;-0.0440674;0.553345;0.468384;0.687256
1432029806193930;-0.0514526;0.553101;0.470215;0.685669
1432029806224059;-0.0585327;0.554504;0.470459;0.683838
1432029806238086;-0.0661011;0.557434;0.469055;0.681763
1432029806254090;-0.0755005;0.561646;0.46521;0.679932
1432029806284102;-0.0875854;0.566528;0.458618;0.678955
1432029806306171;-0.101501;0.57135;0.450256;0.678528
1432029806314151;-0.114868;0.576538;0.441284;0.677917
1432029806337136;-0.127502;0.581421;0.432922;0.67688
1432029806358150;-0.137756;0.588196;0.423889;0.674744
1432029806374162;-0.147034;0.596008;0.414124;0.671997
1432029806398179;-0.15863;0.601624;0.406067;0.66925
1432029806418197;-0.17157;0.604431;0.400635;0.666809
1432029806450331;-0.18335;0.606323;0.396545;0.664368
1432029806457321;-0.193298;0.608704;0.393311;0.661316
1432029806478362;-0.202942;0.611206;0.391235;0.657288
1432029806494443;-0.214417;0.612305;0.391602;0.652405
1432029806516483;-0.228638;0.611084;0.39447;0.647034
1432029806546469;-0.244141;0.607971;0.398621;0.641724
1432029806554468;-0.258789;0.604309;0.402771;0.63678
1432029806577473;-0.270813;0.60144;0.406494;0.632141
1432029806598584;-0.279785;0.59967;0.409607;0.627869
1432029806613694;-0.286377;0.598755;0.412476;0.623901
1432029806636655;-0.291626;0.598145;0.415344;0.620117
1432029806658695;-0.296082;0.597107;0.418518;0.616943
1432029806673710;-0.299927;0.595642;0.42157;0.61438
1432029806695853;-0.302917;0.59436;0.423828;0.61261
1432029806718834;-0.305054;0.593567;0.425171;0.611389
1432029806733835;-0.306396;0.593628;0.42511;0.610657
1432029806755937;-0.30719;0.594727;0.423401;0.610413
1432029806786959;-0.307556;0.596558;0.419983;0.610779
1432029806800931;-0.307739;0.598877;0.4151;0.611755
1432029806816046;-0.308167;0.601624;0.409119;0.612915
1432029806839005;-0.30896;0.605286;0.401611;0.613892
1432029806861022;-0.310181;0.609924;0.392639;0.614441
1432029806884179;-0.312561;0.615417;0.383423;0.613586
1432029806898349;-0.316833;0.621033;0.374573;0.611206
1432029806921363;-0.322205;0.627014;0.365356;0.60791
1432029806936479;-0.327698;0.632874;0.356384;0.604187
1432029806959500;-0.333252;0.637939;0.348938;0.600037
1432029806973555;-0.33783;0.642883;0.342346;0.596069
1432029807003596;-0.339905;0.647644;0.335388;0.593628
1432029807020578;-0.337463;0.65332;0.327148;0.593445
1432029807035559;-0.331299;0.659973;0.318176;0.594482
1432029807056579;-0.323853;0.666443;0.309692;0.595764
1432029807096603;-0.316406;0.672058;0.302429;0.597168
1432029807109704;-0.308777;0.677063;0.296387;0.598572
1432029807131736;-0.300232;0.681885;0.290588;0.600342
1432029807170745;-0.290955;0.686401;0.284607;0.6026
1432029807172746;-0.281311;0.690369;0.279114;0.605225
1432029807178748;-0.272461;0.69342;0.274841;0.607727
1432029807198793;-0.265869;0.695068;0.2724;0.609863
1432029807213832;-0.262207;0.695129;0.271851;0.611572
1432029807235909;-0.260925;0.694031;0.273071;0.612854
1432029807251906;-0.261414;0.692017;0.275574;0.61377
1432029807273932;-0.263062;0.689392;0.278625;0.614685
1432029807295996;-0.265076;0.686218;0.281982;0.615845
1432029807311949;-0.266846;0.682495;0.285461;0.617615
1432029807342039;-0.267883;0.678406;0.288269;0.6203
1432029807356040;-0.267639;0.674316;0.290161;0.624023
1432029807372051;-0.265686;0.670593;0.290833;0.62854
1432029807395168;-0.261841;0.667603;0.2901;0.633667
1432029807424269;-0.257141;0.664795;0.288635;0.63916
1432029807433274;-0.251831;0.661255;0.288208;0.645081
1432029807464324;-0.246521;0.656921;0.289063;0.651184
1432029807476472;-0.241089;0.652344;0.290833;0.656982
1432029807492427;-0.23584;0.648071;0.292725;0.662231
1432029807515446;-0.229919;0.644714;0.294556;0.666809
